Detector;Time;Flow;Speed
403415;07/10/2026 00:00:00;16.0;0
403416;07/10/2026 00:00:00;1.0;0
407327;07/10/2026 00:00:00;5.0;0
407355;07/10/2026 00:00:00;7.0;0
410590;07/10/2026 00:00:00;25.0;0
422198;07/10/2026 00:00:00;16.0;0
425245;07/10/2026 00:00:00;13.0;0
403415;07/10/2026 00:05:00;16.0;0
403416;07/10/2026 00:05:00;3.0;0
407327;07/10/2026 00:05:00;2.0;0
407355;07/10/2026 00:05:00;3.0;0
410590;07/10/2026 00:05:00;23.0;0
422198;07/10/2026 00:05:00;17.0;0
425245;07/10/2026 00:05:00;7.0;0
403415;07/10/2026 00:10:00;21.0;0
403416;07/10/2026 00:10:00;1.0;0
407327;07/10/2026 00:10:00;10.0;0
407355;07/10/2026 00:10:00;5.0;0
410590;07/10/2026 00:10:00;31.0;0
422198;07/10/2026 00:10:00;20.0;0
425245;07/10/2026 00:10:00;5.0;0
403415;07/10/2026 00:15:00;11.0;0
403416;07/10/2026 00:15:00;1.0;0
407327;07/10/2026 00:15:00;6.0;0
407355;07/10/2026 00:15:00;5.0;0
410590;07/10/2026 00:15:00;19.0;0
422198;07/10/2026 00:15:00;14.0;0
425245;07/10/2026 00:15:00;6.0;0
403415;07/10/2026 00:20:00;6.0;0
403416;07/10/2026 00:20:00;0.0;0
407327;07/10/2026 00:20:00;7.0;0
407355;07/10/2026 00:20:00;2.0;0
410590;07/10/2026 00:20:00;20.0;0
422198;07/10/2026 00:20:00;16.0;0
425245;07/10/2026 00:20:00;4.0;0
403415;07/10/2026 00:25:00;13.0;0
403416;07/10/2026 00:25:00;3.0;0
407327;07/10/2026 00:25:00;5.0;0
407355;07/10/2026 00:25:00;1.0;0
410590;07/10/2026 00:25:00;14.0;0
422198;07/10/2026 00:25:00;14.0;0
425245;07/10/2026 00:25:00;6.0;0
403415;07/10/2026 00:30:00;13.0;0
403416;07/10/2026 00:30:00;2.0;0
407327;07/10/2026 00:30:00;2.0;0
407355;07/10/2026 00:30:00;1.0;0
410590;07/10/2026 00:30:00;14.0;0
422198;07/10/2026 00:30:00;9.0;0
425245;07/10/2026 00:30:00;10.0;0
403415;07/10/2026 00:35:00;15.0;0
403416;07/10/2026 00:35:00;1.0;0
407327;07/10/2026 00:35:00;8.0;0
407355;07/10/2026 00:35:00;2.0;0
410590;07/10/2026 00:35:00;13.0;0
422198;07/10/2026 00:35:00;17.0;0
425245;07/10/2026 00:35:00;9.0;0
403415;07/10/2026 00:40:00;9.0;0
403416;07/10/2026 00:40:00;2.0;0
407327;07/10/2026 00:40:00;4.0;0
407355;07/10/2026 00:40:00;3.0;0
410590;07/10/2026 00:40:00;15.0;0
422198;07/10/2026 00:40:00;18.0;0
425245;07/10/2026 00:40:00;7.0;0
403415;07/10/2026 00:45:00;10.0;0
403416;07/10/2026 00:45:00;1.0;0
407327;07/10/2026 00:45:00;6.0;0
407355;07/10/2026 00:45:00;2.0;0
410590;07/10/2026 00:45:00;11.0;0
422198;07/10/2026 00:45:00;12.0;0
425245;07/10/2026 00:45:00;8.0;0
403415;07/10/2026 00:50:00;10.0;0
403416;07/10/2026 00:50:00;0.0;0
407327;07/10/2026 00:50:00;3.0;0
407355;07/10/2026 00:50:00;0.0;0
410590;07/10/2026 00:50:00;15.0;0
422198;07/10/2026 00:50:00;10.0;0
425245;07/10/2026 00:50:00;5.0;0
403415;07/10/2026 00:55:00;5.0;0
403416;07/10/2026 00:55:00;0.0;0
407327;07/10/2026 00:55:00;6.0;0
407355;07/10/2026 00:55:00;0.0;0
410590;07/10/2026 00:55:00;13.0;0
422198;07/10/2026 00:55:00;11.0;0
425245;07/10/2026 00:55:00;3.0;0
403415;07/10/2026 01:00:00;11.0;0
403416;07/10/2026 01:00:00;2.0;0
407327;07/10/2026 01:00:00;1.0;0
407355;07/10/2026 01:00:00;1.0;0
410590;07/10/2026 01:00:00;12.0;0
422198;07/10/2026 01:00:00;10.0;0
425245;07/10/2026 01:00:00;4.0;0
403415;07/10/2026 01:05:00;10.0;0
403416;07/10/2026 01:05:00;1.0;0
407327;07/10/2026 01:05:00;2.0;0
407355;07/10/2026 01:05:00;0.0;0
410590;07/10/2026 01:05:00;6.0;0
422198;07/10/2026 01:05:00;10.0;0
425245;07/10/2026 01:05:00;10.0;0
403415;07/10/2026 01:10:00;4.0;0
403416;07/10/2026 01:10:00;1.0;0
